cd,new_pop,pop_u18,hisp,white,black,asian,other_race,multiracial,pop_acs23,dem,rep,blank,third_parties,prim_adams,prim_wiley,prim_garcia,prim_yang,prim_stringer,prim_morales,prim_mcguire,prim_donovan,prim_votes,adams,sliwa,mayor_votes,active_voters_21,mayor_turnout_pct,prez_votes,active_voters_24,prez_turnout_24,active_voters_23,council_turnout_23,incumbent,boro,party,ntas,lar_grp1,lar_grp2,lar_grp3,lar_pop1,lar_pop2,lar_pop3,mhIncome
29,170529.0,31852.0,41705.0,53544.0,9614.0,47382.0,8960.0,9324.0,170529.0,58972.0,13529.0,26319.0,2531.0,3649.0,2737.0,4222.0,3442.0,1324.0,449.0,348.0,562.0,17273.0,12819.0,7742.0,22115.0,94537.0,23.4,57185.0,94057.0,60.8,12283.0,13.7,Lynn Schulman,q,D,"Rego Park, Forest Hills, Kew Gardens, Richmond Hill",Asian Indian,Chinese,Russian,20532.0,15219.0,8573.0,100658.9
30,170906.0,31975.0,52100.0,76613.0,3320.0,33813.0,1514.0,3546.0,170906.0,45122.0,16258.0,26130.0,2882.0,1877.0,2034.0,2227.0,2552.0,739.0,377.0,410.0,408.0,11019.0,7093.0,12704.0,21156.0,84335.0,25.1,51005.0,86048.0,59.3,8767.0,10.5,Robert F. Holden,q,D,"Glendale, Maspeth, Middle Village, Ridgewood, Woodhaven, Woodside","Chinese, Excluding Taiwanese",Polish,Italian,16731.0,16192.0,15152.0,88985.8
31,174281.0,41181.0,31819.0,18370.0,107967.0,4474.0,3670.0,7981.0,174281.0,72053.0,5935.0,16908.0,2159.0,11632.0,2740.0,581.0,857.0,536.0,222.0,569.0,436.0,17870.0,17990.0,2386.0,21012.0,93473.0,22.5,51530.0,90833.0,56.7,10192.0,11.6,Selvena N. Brooks-Powers,q,D,"Arverne, Brookville, Edgemere, Far Rockaway, Laurelton, Rosedale, 
Springfield Gardens",W Indians  Jamaican,W Indians Haitian,Puerto Rican,23139.0,9232.0,7872.0,91594.2
32,167206.0,33119.0,60335.0,64526.0,9183.0,24295.0,4270.0,4597.0,167206.0,49800.0,20989.0,24617.0,3406.0,3184.0,1461.0,2422.0,2064.0,928.0,409.0,290.0,450.0,11642.0,9452.0,16802.0,28212.0,94937.0,29.7,56926.0,92734.0,61.4,2358.0,2.6,Joann Ariola,q,R,"Belle Harbor, Breezy Point, Broad Channel, Howard Beach, Lindenwood, 
Neponsit, Ozone Park, Richmond Hill, Rockaway Park, Roxbury, South Ozone 
Park, West Hamilton Beach, Woodhaven",Italian,Irish,Puerto Rican,22273.0,17642.0,16308.0,96490.4
33,165179.0,40786.0,17730.0,118117.0,6554.0,13064.0,2694.0,7020.0,165179.0,78994.0,7061.0,20261.0,1978.0,3464.0,8294.0,7712.0,4929.0,975.0,570.0,460.0,418.0,27325.0,16541.0,2998.0,21723.0,96335.0,22.6,64825.0,98466.0,65.8,12728.0,13.8,Lincoln Restler,bk,D,"Boerum Hill, bk Heights, bk Navy Yard, Downtown bk, 
Dumbo, Fulton Ferry, Greenpoint, Vinegar Hill, Williamsburg",Irish,English,German,15088.0,11280.0,10984.0,136794.1
34,178550.0,31217.0,69137.0,73252.0,12874.0,15097.0,2265.0,5925.0,178550.0,80809.0,5855.0,20650.0,2293.0,3551.0,8018.0,2962.0,2783.0,588.0,964.0,198.0,264.0,20071.0,12274.0,2955.0,17408.0,108388.0,16.1,55760.0,101845.0,54.8,8386.0,8.6,Jennifer Gutiérrez,"bk, q",D,"Williamsburg, Bushwick, Ridgewood",Puerto Rican,Dominican,Irish,23337.0,14932.0,10891.0,96233.8
35,171683.0,29924.0,22257.0,64425.0,59319.0,13484.0,2881.0,9317.0,171683.0,95570.0,4681.0,17829.0,2495.0,11529.0,13514.0,6628.0,1427.0,1078.0,858.0,460.0,469.0,36666.0,26644.0,1875.0,31777.0,116751.0,27.2,71727.0,111574.0,64.3,15235.0,13.9,Crystal Hudson,bk,D,"Fort Greene, Clinton Hill, Crown Heights, Prospect Heights, Bedford 
Stuyvesant",Irish,German,English,11045.0,7983.0,7930.0,107542.4
36,162627.0,28672.0,30793.0,35363.0,78703.0,7580.0,1938.0,8250.0,162627.0,89733.0,3117.0,16903.0,2688.0,10416.0,9882.0,2300.0,906.0,568.0,824.0,376.0,298.0,26286.0,19724.0,1023.0,23251.0,111836.0,20.8,58189.0,103992.0,56.0,10792.0,10.6,Chi Ossé,bk,D,"Bedford Stuyvesant, Northern Crown Heights",Puerto Rican,Dominican,Irish,8297.0,7391.0,6927.0,77619.1
37,163754.0,34351.0,85668.0,19318.0,36183.0,13044.0,3770.0,5771.0,163754.0,68429.0,5475.0,18989.0,2189.0,4634.0,3620.0,922.0,919.0,387.0,716.0,545.0,169.0,12456.0,9038.0,1601.0,11817.0,88442.0,13.4,40235.0,85064.0,47.3,5626.0,6.8,Sandy Nurse,bk,D,"Cypress Hills, Bushwick, City Line, Ocean Hill, Brownsville, East New York",Dominican,Puerto Rican,Ecuadorian,27348.0,20273.0,9222.0,71171.5
38,174873.0,39723.0,61604.0,45102.0,7843.0,54949.0,1586.0,3789.0,174873.0,49769.0,9650.0,20632.0,1934.0,2205.0,3356.0,2388.0,2417.0,471.0,530.0,113.0,208.0,12109.0,8201.0,5596.0,15334.0,76223.0,20.1,40916.0,77504.0,52.8,9211.0,12.5,Alexa Avilés,bk,D,"Red Hook, Sunset Park, Greenwood Heights and portions of Windsor Terrace, 
Dyker Heights, and Boro Park","Chinese, Excluding Taiwanese",Mexican,Puerto Rican,38942.0,20804.0,12270.0,80807.7
