ed,county,ab_military,affidavit,trump_con,trump_rep,fed,harris_dem,harris_wor,manually_counted_emergency,public_counter,scattered,Grand Total,harris_tot,trump_tot,prez_votes,
23033,Queens,90.0,32.0,56.0,945.0,0.0,221.0,12.0,0.0,1127.0,11.0,2494.0,233.0,1001.0,1249.0,
23034,Queens,77.0,18.0,47.0,761.0,3.0,249.0,7.0,0.0,985.0,10.0,2157.0,256.0,808.0,1080.0,
23035,Queens,50.0,15.0,39.0,808.0,4.0,169.0,8.0,0.0,968.0,10.0,2071.0,177.0,847.0,1033.0,
23036,Queens,69.0,35.0,61.0,809.0,0.0,207.0,10.0,0.0,1004.0,17.0,2212.0,217.0,870.0,1108.0,
23037,Queens,81.0,24.0,40.0,705.0,1.0,338.0,24.0,0.0,1015.0,9.0,2237.0,362.0,745.0,1120.0,
23038,Queens,68.0,6.0,51.0,631.0,0.0,249.0,17.0,0.0,885.0,5.0,1912.0,266.0,682.0,959.0,
23039,Queens,14.0,2.0,3.0,26.0,0.0,60.0,0.0,0.0,73.0,,178.0,60.0,29.0,89.0,
23040,Queens,56.0,16.0,21.0,255.0,0.0,325.0,6.0,0.0,545.0,7.0,1231.0,331.0,276.0,617.0,
23041,Queens,50.0,16.0,27.0,364.0,1.0,314.0,15.0,0.0,664.0,9.0,1460.0,329.0,391.0,730.0,
23042,Queens,53.0,17.0,15.0,284.0,0.0,263.0,11.0,0.0,515.0,11.0,1169.0,274.0,299.0,585.0,
23043,Queens,4.0,1.0,0.0,3.0,0.0,6.0,2.0,0.0,6.0,,22.0,8.0,3.0,11.0,
23044,Queens,142.0,30.0,38.0,602.0,3.0,543.0,21.0,0.0,1053.0,8.0,2440.0,564.0,640.0,1225.0,
23045,Queens,90.0,21.0,23.0,403.0,3.0,339.0,7.0,0.0,668.0,7.0,1561.0,346.0,426.0,779.0,
23046,Queens,65.0,34.0,35.0,447.0,0.0,503.0,20.0,0.0,957.0,43.0,2104.0,523.0,482.0,1056.0,
23047,Queens,43.0,29.0,30.0,388.0,1.0,343.0,21.0,0.0,719.0,8.0,1582.0,364.0,418.0,791.0,
23048,Queens,53.0,21.0,35.0,424.0,0.0,361.0,16.0,0.0,778.0,9.0,1697.0,377.0,459.0,852.0,
23049,Queens,65.0,34.0,48.0,456.0,1.0,482.0,12.0,0.0,914.0,9.0,2021.0,494.0,504.0,1013.0,
23050,Queens,24.0,13.0,10.0,164.0,0.0,175.0,6.0,0.0,339.0,19.0,750.0,181.0,174.0,376.0,
23051,Queens,35.0,45.0,15.0,259.0,0.0,358.0,12.0,1.0,579.0,11.0,1315.0,370.0,274.0,660.0,
23052,Queens,30.0,16.0,11.0,156.0,1.0,216.0,9.0,0.0,359.0,10.0,808.0,225.0,167.0,405.0,
23053,Queens,82.0,31.0,15.0,278.0,1.0,406.0,17.0,0.0,702.0,94.0,1626.0,423.0,293.0,815.0,
23054,Queens,49.0,33.0,23.0,268.0,0.0,383.0,15.0,0.0,666.0,42.0,1479.0,398.0,291.0,748.0,
23055,Queens,21.0,8.0,5.0,137.0,0.0,143.0,7.0,0.0,273.0,10.0,604.0,150.0,142.0,302.0,
23056,Queens,19.0,10.0,11.0,145.0,0.0,150.0,11.0,0.0,296.0,6.0,648.0,161.0,156.0,325.0,
23057,Queens,34.0,7.0,12.0,218.0,0.0,222.0,6.0,0.0,434.0,9.0,942.0,228.0,230.0,475.0,
23058,Queens,38.0,19.0,29.0,374.0,0.0,115.0,17.0,0.0,483.0,4.0,1079.0,132.0,403.0,540.0,
23059,Queens,27.0,8.0,21.0,376.0,1.0,98.0,4.0,0.0,467.0,3.0,1005.0,102.0,397.0,502.0,
23060,Queens,74.0,14.0,25.0,369.0,2.0,283.0,13.0,0.0,615.0,9.0,1404.0,296.0,394.0,703.0,
23061,Queens,0.0,1.0,2.0,4.0,0.0,10.0,0.0,0.0,16.0,1.0,34.0,10.0,6.0,17.0,
23062,Queens,54.0,18.0,10.0,374.0,1.0,427.0,16.0,1.0,769.0,12.0,1682.0,443.0,384.0,842.0,
23063,Queens,41.0,12.0,10.0,175.0,0.0,245.0,12.0,0.0,396.0,6.0,897.0,257.0,185.0,449.0,
23064,Queens,11.0,4.0,5.0,85.0,2.0,134.0,2.0,0.0,213.0,3.0,459.0,136.0,90.0,228.0,
23065,Queens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
23066,Queens,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,
23067,Queens,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,
23068,Queens,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,
23069,Queens,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,
23070,Queens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
23071,Queens,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,
23072,Queens,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,
24001,Queens,19.0,5.0,4.0,110.0,1.0,160.0,4.0,0.0,263.0,8.0,574.0,164.0,114.0,287.0,
24002,Queens,23.0,9.0,5.0,105.0,0.0,215.0,9.0,0.0,312.0,6.0,684.0,224.0,110.0,344.0,
24003,Queens,69.0,16.0,21.0,282.0,0.0,409.0,13.0,0.0,675.0,25.0,1510.0,422.0,303.0,760.0,
24004,Queens,53.0,18.0,10.0,219.0,1.0,385.0,9.0,0.0,558.0,6.0,1259.0,394.0,229.0,629.0,
24005,Queens,55.0,8.0,12.0,212.0,2.0,407.0,5.0,0.0,584.0,8.0,1293.0,412.0,224.0,647.0,
24006,Queens,68.0,19.0,25.0,380.0,0.0,442.0,17.0,0.0,791.0,12.0,1754.0,459.0,405.0,878.0,
24007,Queens,58.0,11.0,10.0,236.0,1.0,339.0,17.0,0.0,548.0,13.0,1233.0,356.0,246.0,617.0,
24008,Queens,62.0,22.0,17.0,327.0,0.0,468.0,9.0,0.0,754.0,13.0,1672.0,477.0,344.0,838.0,
